Wall time,Step,Value
1677298356.914186,5,32.052433013916016
1677300335.8602564,10,34.49250411987305
1677302313.3239536,15,35.07830810546875
1677304288.9776182,20,34.958431243896484
1677306243.204366,25,35.810585021972656
1677308209.5879533,30,35.758506774902344
1677310161.761973,35,34.93185806274414
1677312129.3025084,40,35.81075668334961
1677314110.2078702,45,33.88021469116211
1677316060.5146666,50,31.094942092895508
1677318004.6042216,55,35.55149459838867
1677319954.763843,60,35.43222427368164
1677321907.194016,65,34.09297180175781
1677323849.285776,70,34.548011779785156
1677325792.0496032,75,36.3068962097168
1677327735.3356628,80,35.49214553833008
1677329681.1158886,85,34.854618072509766
1677331623.6346712,90,34.18768310546875
1677333564.6487005,95,35.589237213134766
1677335507.3735144,100,35.27520751953125
1677337448.0154638,105,32.63633346557617
1677339396.398205,110,35.41803741455078
1677341340.754457,115,35.329925537109375
1677343296.7803037,120,34.849430084228516
1677345250.7499738,125,34.860103607177734
1677347192.9523113,130,33.626426696777344
1677349124.4272034,135,33.52304458618164
1677351064.339856,140,34.18563461303711
1677353000.655385,145,35.97122573852539
1677354933.4926639,150,31.951292037963867
